Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8844.510000000002,106134.12,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),,Amazon Route 53,0,492.5,5910.00,USD,,Hosted Zones (1)
Initial_Cost_Estimate,US East (N. Virginia),,Amazon CloudFront,0,1078.05,12936.60,USD,,"Data transfer out to internet (10 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) ( per second), Data transfer out to internet (10 GB per month), Data transfer out to origin (10 GB per month), Data transfer out to internet (10 GB per month), Data transfer out to origin (10 GB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,1179.03,14148.36,USD,,"S3 Standard storage (50 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (), GET, SELECT, and all other requests from S3 Standard (), Data returned by S3 Select (2 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard - Infrequent Access,0,640,7680.00,USD,,S3 Standard-IA storage (50 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
Initial_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,500.05,6000.60,USD,,Number of Application Load Balancers (2)
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2 ,0,2106.7839999999997,25281.41,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 4, Peak: 16, Duration of peak: 12 Hr 0 Min)), Advance EC2 instance (m6g.2xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (enabled), EBS Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2690.24,32282.88,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (2), Instance type (db.m4.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Initial_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,157.86,1894.32,USD,,Number of NAT Gateways (2)
Initial_Cost_Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,,"Number of EC2 instances (16), Number of EIPs per instance (1)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
